id_mjesta,naziv,otok_podrucje,regija,lat,lon,tocnost_koordinata,napomena
bagalovic,Bagalović,,Neretvanska krajina,43.045,17.52,neprovjereno,
banjevci,Banjevci,,Bukovica/Ravni kotari,43.965,15.625,priblizno,
banjol,Banjol,Otok Rab,Kvarner,44.751,14.772,priblizno,
bast,Bast,,Makarsko primorje,43.366,16.965,priblizno,
baska,Baška,Otok Krk,Kvarner,44.969,14.754,priblizno,
baska-draga,Baška Draga (Draga Bašćanska),Otok Krk,Kvarner,45.003,14.73,priblizno,U izvoru 'Baška Draga'
baska-voda,Baška Voda,,Makarsko primorje,43.357,16.951,priblizno,
bijeli-vir,Bijeli Vir,,Neretvanska krajina,43.0,17.64,neprovjereno,
blato-na-cetini,Blato na Cetini,,Omiško zaleđe,43.453,16.773,neprovjereno,
bogovici,Bogovići (Dubašnica),Otok Krk,Kvarner,45.117,14.525,priblizno,
bol,Bol,Otok Brač,Srednjodalmatinski otoci,43.262,16.655,priblizno,
borovci,Borovci,,Neretvanska krajina,43.12,17.47,neprovjereno,
brela-donja,Brela Donja,,Makarsko primorje,43.37,16.93,priblizno,
brist,Brist,,Makarsko primorje,43.1,17.32,priblizno,
brusje,Brusje,Otok Hvar,Srednjodalmatinski otoci,43.183,16.495,priblizno,U izvoru i 'Brusja'
cista-velika,Cista Velika,,Imotska krajina (Cetinski kraj),43.486,16.94,priblizno,
cres-grad,Cres,Otok Cres,Kvarner,44.961,14.407,neprovjereno,U izvoru samo 'Cres' — pretpostavljen grad Cres
desne,Desne,,Neretvanska krajina,43.08,17.51,neprovjereno,
dobrinj,Dobrinj,Otok Krk,Kvarner,45.13,14.6,priblizno,
dol-brac,Dol,Otok Brač,Srednjodalmatinski otoci,43.355,16.62,priblizno,
donje-sitno,Donje Sitno,,Poljica,43.534,16.585,priblizno,
donji-humac,Donji Humac,Otok Brač,Srednjodalmatinski otoci,43.33,16.595,priblizno,
drasnice,Drašnice,,Makarsko primorje,43.222,17.117,priblizno,
