izvor,cd_ili_redni_broj,napjevi,id_mjesta,mjesto,napomena,metaoznaka_snimke,poveznica_na_snimke
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 1,01–06,lisane-ostrovicke,Lišane Ostrovičke,,snimljeno kolovoza 2008.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-1/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 1,07–13,stankovci,Stankovci,,snimljeno kolovoza 2010.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-1/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 1,14–16,metkovic,Metković,,snimljeno travnja 2004.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-1/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 1,17,split,Split,Crkva sestara Službenica Milosrđa – Anćele,snimljeno srpnja 2009.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-1/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 1,18,lisane-ostrovicke,Lišane Ostrovičke,,snimljeno kolovoza 2008.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-1/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 1,19–20,stankovci,Stankovci,,snimljeno kolovoza 2010.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-1/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 1,21,split,Split,Crkva sestara Službenica Milosrđa – Anćele,snimljeno srpnja 2009.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-1/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 1,22–23,lisane-ostrovicke,Lišane Ostrovičke,,snimljeno kolovoza 2008.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-1/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 1,24,prgomet,Prgomet,,snimljeno kolovoza 2008.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-1/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 1,25,stankovci,Stankovci,,snimljeno kolovoza 2010.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-1/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 2,01,sumartin,Sumartin,,"ožujak 1996., snimio Lj. Stipišić Delmata",https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-franjevacke-provincije-presvetog-otkupitelja-cd-2/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 2,02,prgomet,Prgomet,,snimljeno kolovoza 2008.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-franjevacke-provincije-presvetog-otkupitelja-cd-2/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 2,03,metkovic,Metković,,snimljeno travnja 2004.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-franjevacke-provincije-presvetog-otkupitelja-cd-2/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 2,04–06,sumartin,Sumartin,,"ožujak 1996., snimio Lj. Stipišić Delmata",https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-franjevacke-provincije-presvetog-otkupitelja-cd-2/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 2,07,metkovic,Metković,,snimljeno travnja 2004.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-franjevacke-provincije-presvetog-otkupitelja-cd-2/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 2,08,sumartin,Sumartin,,"ožujak 1996., snimio Lj. Stipišić Delmata",https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-franjevacke-provincije-presvetog-otkupitelja-cd-2/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 2,09,split,Split,Crkva sestara Službenica Milosrđa – Anćele,snimljeno srpnja 2009.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-franjevacke-provincije-presvetog-otkupitelja-cd-2/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 2,10,sumartin,Sumartin,,"ožujak 1996., snimio Lj. Stipišić Delmata",https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-franjevacke-provincije-presvetog-otkupitelja-cd-2/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 2,11,metkovic,Metković,,snimljeno travnja 2004.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-franjevacke-provincije-presvetog-otkupitelja-cd-2/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 3,01,runovici,Runovići,U izvoru 'iz Runovića',snimljeno kolovoza 2009.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-3/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 3,02,stankovci,Stankovci,,snimljeno kolovoza 2010.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-3/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 3,03,,(mjesto nije navedeno),Pjeva Ante Cvitanović; lokacija nije zapisana,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-3/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 3,04–05,metkovic,Metković,,snimljeno travnja 2004.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-3/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 3,06,split,Split,Crkva sestara Službenica Milosrđa – Anćele,snimljeno srpnja 2009.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-3/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 4,01–02,sumartin,Sumartin,,"ožujak 1996., snimio Lj. Stipišić Delmata",https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-4/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 4,03–04,,(mjesto nije navedeno),Pjevaju fra Stipica Grgat i Miro Perica; bez lokacije,,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-4/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 4,05–06,split,Split,Crkva sestara Službenica Milosrđa – Anćele,snimljeno srpnja 2009.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-4/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 4,07–09,stankovci,Stankovci,,snimljeno kolovoza 2010.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-4/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 4,10,split,Split,Crkva sestara Službenica Milosrđa – Anćele,snimljeno srpnja 2009.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-4/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 4,11,metkovic,Metković,,snimljeno travnja 2004.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-4/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 4,12,sumartin,Sumartin,,"ožujak 1996., snimio Lj. Stipišić Delmata",https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-4/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 4,13,vrgorac,Vrgorac,,snimljeno kolovoza 2008.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-4/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 4,14,metkovic,Metković,,snimljeno travnja 2004.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-4/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 4,15,vrgorac,Vrgorac,Prema PDF popisu fonoteke: pjevači župe Navještenja BDM iz Vrgorca,snimljeno kolovoza 2008.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-4/
Knjiga 1 (Tradicijsko pučko crkveno pjevanje),CD 4,16,vrgorac,Vrgorac,,snimljeno kolovoza 2008.,https://stin.hr/portfolio-items/tradicijsko-pucko-crkveno-pjevanje-u-franjevackoj-provinciji-presvetog-otkupitelja-cd-4/
