Name,Occurrences,CDs,Sources,Notes,Latitude,Longitude
"BAGALOVIĆ","2","143, 144","Popis_1","",43.03333,17.6
"BANJEVCI","4","1, 2, 3","Knjiga_2","Napjevi 27–31 | Napjev 24 | Napjev 35 | Napjev 26",43.89139,15.66472
"BANJOL","1","27","Popis_1","",44.75372,14.77378
"BANJOL I LOPAR","1","25","Popis_1","",44.75372,14.77378
"BAST","1","129","Popis_1","",43.35558,16.98529
"BAŠKA","1","110","Popis_1","",44.97028,14.75333
"BAŠKA DRAGA","4","20, 100, 115, 116","Popis_1","",45,14.717
"BAŠKA VODA","1","124","Popis_1","",43.35694,16.95028
"BIJELI VIR","2","149, 150","Popis_1","",43.01139,17.65472
"BLATO NA CETINI","1","136","Popis_1","",43.48197,16.84351
"BOGOVIĆI","1","118","Popis_1","",45.11755,14.5292
"BOGOVIĆI (DUBAŠNICA)","2","104, 117","Popis_1","",45.11755,14.5292
"BOL","1","","Popis_2","",43.26194,16.655
"BRELA DONJA","1","130","Popis_1","",43.366,16.924
"BRIST","5","2, 3, 127, 128","Knjiga_2, Popis_1","Napjev 36 | Napjevi 08–09 | Napjevi 22–23",43.11806,17.32472
"BRUSJA","2","38, 39","Popis_1","",43.19278,16.49083
"BRUSJE","1","46","Popis_1","",43.19278,16.49083
"BRUSJE I GRAD HVAR","1","40","Popis_1","",43.19278,16.49083
"BRUSJE I JELSA","1","41","Popis_1","",43.19278,16.49083
"CISTA VELIKA","2","135","Popis_1","",43.54239,16.86496
"CRES","1","140","Popis_1","",44.96092,14.41246
"ČARA","1","53","Popis_1","",42.93833,16.93472
"ČARA I RAČIŠĆE","1","52","Popis_1","",42.93833,16.93472
"ČARA I SMOKVICA","1","51","Popis_1","",42.93833,16.93472
"ČVRLJEVO","3","1, 2","Knjiga_2","Snimljeno u Splitu; napjevi 23–26 | Napjev 32 | Napjev 39",43.75972,16.02083
"DALMACIJA","29","61, 62, 76, 77, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 124, 125, 126, 127, 128, 129, 130, 137, 151","Popis_1","",43.83,16.27
"DALMACIJA; ČAPLJINA","1","152","Popis_1","",43.11,17.7
"DOBRINJ","5","15, 16, 17, 18, 107","Popis_1","",45.12999,14.60381
"DOL 5b. POSTIRA","1","","Popis_2","",43.36,16.634
"DONJE SITNO (POLJICA)","1","137","Popis_1","",43.488,16.607
"DONJI HUMAC","1","","Popis_2","",43.34222,16.55583
"DRAŠNICE","1","130","Popis_1","",43.22028,17.115
"DRIVENIK","1","126","Popis_1","",45.24028,14.65111
"DRVENIK","1","2","Knjiga_2","Napjevi 06–08",42.56762,18.31346
"DUBAŠNICA","2","5, 20","Popis_1","",45.109,14.526
"DUĆE - ROGAČ","1","84","Popis_1","",43.44278,16.66833
"GATA","1","87","Popis_1","",43.46667,16.7
"GORNJE SELO (OTOK ŠOLTA)","1","","Popis_2","",43.35528,16.34111
"GORNJI HUMAC","1","","Popis_2","",43.29639,16.72111
"GRAD HVAR","1","44","Popis_1","",43.1725,16.44278
"GRAD HVAR I BRUSJE","1","45","Popis_1","",43.1725,16.44278
"HERCEGOVINA","2","150, 152","Popis_1","",43.33,17.8
"HERCEGOVINA; DESNE I BOROVCI","1","151","Popis_1","",43.05,17.58
"HVAR","11","36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46","Popis_1","",43.1725,16.44278
"HVAR I STARIGRAD","1","36","Popis_1","",43.1725,16.44278
"HVAR/ZADARSKI OTOCI","1","47","Popis_1","",43.16,16.44
"IGRANE","2","1, 130","Knjiga_2, Popis_1","Napjevi 01–12",43.19528,17.13889
"IMOTSKI","4","133, 134, 135","Popis_1","",43.44667,17.21667
"ISTRA","4","32, 33, 34, 35","Popis_1","",45.24,13.93
"JELSA","3","42, 43","Popis_1, Popis_2","",43.16139,16.69306
"JESENICE - SUMPETAR","5","91, 92, 93, 94, 95","Popis_1","",43.45,16.602
"JURANDVOR","2","100, 111","Popis_1","",44.98,14.7375
"JURANDVOR I BAŠKA","2","11, 12","Popis_1","",44.98,14.7375
"KAŠTEL KAMBELOVAC","6","59, 62, 63, 64, 65","Popis_1, Popis_2","",43.55,16.38333
"KAŠTEL LUKŠIĆ","3","62, 64","Popis_1, Popis_2","",43.55528,16.3675
"KAŠTEL NOVI","1","","Popis_2","",43.55243,16.33628
"KAŠTEL STARI","5","59, 60, 63, 64","Popis_1, Popis_2","",43.55,16.35
"KAŠTEL SUĆURAC","2","60, 61","Popis_1","",43.55028,16.42639
"KAŠTEL ŠTAFILIĆ","5","56, 57, 58, 59","Popis_1, Popis_2","",43.55,16.33333
"KAŠTELA","8","56, 57, 58, 59, 60, 63, 64, 65","Popis_1","",46.25222,16.42333
"KATUNI-KREŠEVO","3","135, 136","Popis_1","",43.468,16.852
"KLIS","1","","Popis_2","",43.55944,16.51944
