"Source","CD","Location","Notes","Raw"
"Knjiga_1","1","LIŠANE OSTROVIČKE","Napjevi 01–06","LIŠANE OSTROVIČKE (Napjevi 01–06)"
"Knjiga_1","1","STANKOVCI","Napjevi 07–13","STANKOVCI (Napjevi 07–13)"
"Knjiga_1","1","METKOVIĆ","Napjevi 14–16","METKOVIĆ (Napjevi 14–16)"
"Knjiga_1","1","SPLIT","Crkva sestara Službenica Milosrđa – Anćele; napjev 17","SPLIT (Crkva sestara Službenica Milosrđa – Anćele; napjev 17)"
"Knjiga_1","1","LIŠANE OSTROVIČKE","Napjev 18","LIŠANE OSTROVIČKE (Napjev 18)"
"Knjiga_1","1","STANKOVCI","Napjevi 19–20","STANKOVCI (Napjevi 19–20)"
"Knjiga_1","1","SPLIT","Crkva sestara Službenica Milosrđa – Anćele; napjev 21","SPLIT (Crkva sestara Službenica Milosrđa – Anćele; napjev 21)"
"Knjiga_1","1","LIŠANE OSTROVIČKE","Napjevi 22–23","LIŠANE OSTROVIČKE (Napjevi 22–23)"
"Knjiga_1","1","PRGOMET","Napjev 24","PRGOMET (Napjev 24)"
"Knjiga_1","1","STANKOVCI","Napjev 25","STANKOVCI (Napjev 25)"
"Knjiga_1","2","SUMARTIN","Napjev 01","SUMARTIN (Napjev 01)"
"Knjiga_1","2","PRGOMET","Napjev 02","PRGOMET (Napjev 02)"
"Knjiga_1","2","METKOVIĆ","Napjev 03","METKOVIĆ (Napjev 03)"
"Knjiga_1","2","SUMARTIN","Napjevi 04–06","SUMARTIN (Napjevi 04–06)"
"Knjiga_1","2","METKOVIĆ","Napjev 07","METKOVIĆ (Napjev 07)"
"Knjiga_1","2","SUMARTIN","Napjev 08","SUMARTIN (Napjev 08)"
"Knjiga_1","2","SPLIT","Crkva sestara Službenica Milosrđa – Anćele; napjev 09","SPLIT (Crkva sestara Službenica Milosrđa – Anćele; napjev 09)"
"Knjiga_1","2","SUMARTIN","Napjev 10","SUMARTIN (Napjev 10)"
"Knjiga_1","2","METKOVIĆ","Napjev 11","METKOVIĆ (Napjev 11)"
"Knjiga_1","3","RUNOVIĆI","U izvoru piše ""iz Runovića""; napjev 01","RUNOVIĆI (U izvoru piše ""iz Runovića""; napjev 01)"
"Knjiga_1","3","STANKOVCI","Napjev 02","STANKOVCI (Napjev 02)"
